="Table 4: HETEROGENEITY1"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="-1.458***",="0.446**",="0.418**",="0.966",="2.799***",="0.693***"
="",="(0.431)",="(0.221)",="(0.170)",="(0.643)",="(0.945)",="(0.267)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.216***",="0.122***",="-0.029",="0.108",="-0.185",="-0.027"
="",="(0.050)",="(0.034)",="(0.026)",="(0.113)",="(0.162)",="(0.047)"
="year==2006",="-0.077**",="-0.014",="0.009",="0.052",="-0.024",="0.009"
="",="(0.036)",="(0.023)",="(0.016)",="(0.049)",="(0.072)",="(0.023)"
="year==2011",="0.508***",="-0.041*",="-0.011",="0.433***",="-0.062",="0.044**"
="",="(0.041)",="(0.023)",="(0.018)",="(0.049)",="(0.066)",="(0.019)"
="year==2016",="0.696***",="-0.338***",="-0.093***",="0.391***",="-0.665***",="-0.165***"
="",="(0.064)",="(0.031)",="(0.022)",="(0.106)",="(0.151)",="(0.043)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.299",="-0.919***",="-0.863***",="-1.525**",="-3.023***",="-2.016***"
="",="(0.506)",="(0.340)",="(0.267)",="(0.593)",="(0.869)",="(0.345)"
="L.share_college",="0.451*",="1.083***",="0.068",="1.708**",="1.220",="-0.126"
="",="(0.247)",="(0.180)",="(0.126)",="(0.818)",="(1.006)",="(0.382)"
="N",="700.000",="700.000",="700.000",="1764.000",="1648.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="351.321",="365.480",="339.852"
="arf",="11.423",="4.486",="6.399",="2.275",="8.769",="6.777"
="arfp",="0.001",="0.036",="0.013",="0.132",="0.003",="0.010"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY2"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.628***",="0.881***",="-0.239",="1.033*",="-0.548",="0.864***"
="",="(0.207)",="(0.218)",="(0.164)",="(0.532)",="(0.804)",="(0.325)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.105***",="-0.076**",="-0.061*",="-0.080",="0.176",="-0.152***"
="",="(0.025)",="(0.032)",="(0.032)",="(0.079)",="(0.139)",="(0.055)"
="year==2006",="-0.027*",="-0.017",="0.088***",="-0.150***",="0.089",="0.070***"
="",="(0.015)",="(0.024)",="(0.023)",="(0.035)",="(0.059)",="(0.025)"
="year==2011",="0.031*",="-0.067***",="0.014",="0.021",="0.168***",="-0.034"
="",="(0.018)",="(0.024)",="(0.020)",="(0.030)",="(0.055)",="(0.022)"
="year==2016",="-0.038",="-0.176***",="-0.014",="-0.234***",="0.182",="-0.210***"
="",="(0.025)",="(0.030)",="(0.022)",="(0.081)",="(0.135)",="(0.054)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.085***",="-1.029***",="-0.557",="-1.455***",="-3.466***",="-0.092"
="",="(0.261)",="(0.376)",="(0.353)",="(0.545)",="(0.728)",="(0.283)"
="L.share_college",="0.451***",="-0.342**",="0.174",="-1.520***",="-1.525*",="0.178"
="",="(0.138)",="(0.161)",="(0.171)",="(0.581)",="(0.823)",="(0.365)"
="N",="700.000",="700.000",="700.000",="1772.000",="1720.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="353.055",="370.850",="339.852"
="arf",="10.138",="17.628",="2.080",="3.892",="0.463",="7.171"
="arfp",="0.002",="0.000",="0.152",="0.049",="0.497",="0.008"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY3"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.645***",="0.604**",="0.585**",="0.957***",="1.906***",="0.232"
="",="(0.166)",="(0.245)",="(0.239)",="(0.260)",="(0.379)",="(0.314)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="-0.194***",="-0.221***",="0.150***",="-0.177***",="-0.293***",="0.153**"
="",="(0.026)",="(0.033)",="(0.027)",="(0.045)",="(0.077)",="(0.060)"
="year==2006",="-0.329***",="0.871***",="-0.344***",="-0.264***",="0.673***",="-0.216***"
="",="(0.017)",="(0.023)",="(0.016)",="(0.023)",="(0.038)",="(0.028)"
="year==2011",="-0.126***",="-0.049**",="0.043**",="-0.073***",="0.021",="0.086***"
="",="(0.019)",="(0.023)",="(0.020)",="(0.016)",="(0.031)",="(0.023)"
="year==2016",="-0.194***",="-0.134***",="-0.009",="-0.242***",="-0.319***",="-0.023"
="",="(0.022)",="(0.032)",="(0.029)",="(0.040)",="(0.063)",="(0.053)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="-0.493*",="-0.744**",="-1.001***",="-1.613***",="-2.801***",="-3.399***"
="",="(0.267)",="(0.347)",="(0.284)",="(0.300)",="(0.498)",="(0.412)"
="L.share_college",="-0.681***",="-0.568***",="1.126***",="-1.190***",="-0.799",="0.974*"
="",="(0.133)",="(0.163)",="(0.142)",="(0.397)",="(0.617)",="(0.498)"
="N",="700.000",="700.000",="700.000",="1780.000",="1780.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="339.852",="339.852",="339.852"
="arf",="16.726",="5.983",="6.436",="13.882",="26.885",="0.542"
="arfp",="0.000",="0.016",="0.012",="0.000",="0.000",="0.462"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
