="Table 2A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="-0.018",="0.186",="0.348***"
="",="(0.120)",="(0.141)",="(0.100)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.104***",="-0.026",="0.025***"
="",="(0.018)",="(0.018)",="(0.009)"
="year==2006",="-0.102***",="-0.045**",="0.197***"
="",="(0.012)",="(0.023)",="(0.014)"
="year==2011",="0.063***",="0.000",="0.100***"
="",="(0.017)",="(.)",="(0.010)"
="year==2016",="-0.049**",="-0.071***",="0.000"
="",="(0.020)",="(0.021)",="(.)"
="year==2021",="0.000",="-0.067***",="0.124***"
="",="(.)",="(0.018)",="(0.016)"
="Constant",="0.019*",="0.073***",="-0.027"
="",="(0.011)",="(0.020)",="(0.021)"
="N",="2472.000",="2423.000",="2480.000"
="r2",="0.118",="0.011",="0.137"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="-0.116",="0.249",="0.428***"
="",="(0.170)",="(0.229)",="(0.123)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.121***",="0.038",="-0.110***"
="",="(0.022)",="(0.026)",="(0.015)"
="year==2006",="-0.097***",="0.024",="0.071***"
="",="(0.012)",="(0.017)",="(0.008)"
="year==2011",="0.069***",="0.062***",="-0.028***"
="",="(0.019)",="(0.020)",="(0.010)"
="year==2016",="-0.034",="-0.015",="-0.136***"
="",="(0.026)",="(0.031)",="(0.019)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2472.000",="2420.000",="2480.000"
="r2",="0.146",="0.013",="0.210"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.884**",="-0.240",="0.632***"
="",="(0.374)",="(0.548)",="(0.232)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.022",="0.165*",="-0.111***"
="",="(0.053)",="(0.090)",="(0.036)"
="year==2006",="-0.086***",="0.105***",="0.086***"
="",="(0.024)",="(0.040)",="(0.017)"
="year==2011",="0.045*",="0.150***",="-0.025"
="",="(0.024)",="(0.044)",="(0.018)"
="year==2016",="-0.161***",="0.106",="-0.159***"
="",="(0.056)",="(0.090)",="(0.037)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.452***",="-3.075***",="-0.138"
="",="(0.494)",="(0.634)",="(0.253)"
="L.share_college",="0.016",="0.064",="0.288**"
="",="(0.197)",="(0.302)",="(0.135)"
="N",="2472.000",="2420.000",="2480.000"
="widstat",="419.580",="435.182",="407.784"
="arf",="5.802",="0.191",="7.502"
="arfp",="0.016",="0.662",="0.006"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
