="Table 3A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.588***",="0.378***",="-0.102"
="",="(0.089)",="(0.105)",="(0.103)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.087***",="0.004",="0.081***"
="",="(0.006)",="(0.009)",="(0.010)"
="year==2006",="-0.068***",="0.851***",="-0.352***"
="",="(0.014)",="(0.019)",="(0.016)"
="year==2011",="0.123***",="0.146***",="0.018"
="",="(0.011)",="(0.013)",="(0.013)"
="year==2016",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2021",="0.188***",="0.109***",="0.020"
="",="(0.014)",="(0.016)",="(0.016)"
="Constant",="-0.129***",="-0.076***",="0.013"
="",="(0.018)",="(0.021)",="(0.021)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.262",="0.692",="0.434"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.317***",="0.568***",="0.171"
="",="(0.070)",="(0.159)",="(0.134)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.066***",="-0.129***",="0.027*"
="",="(0.010)",="(0.017)",="(0.016)"
="year==2006",="-0.250***",="0.738***",="-0.378***"
="",="(0.009)",="(0.014)",="(0.011)"
="year==2011",="-0.051***",="0.027**",="-0.016"
="",="(0.008)",="(0.012)",="(0.013)"
="year==2016",="-0.148***",="-0.137***",="-0.061***"
="",="(0.011)",="(0.021)",="(0.019)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.366",="0.748",="0.502"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.880***",="1.706***",="0.221"
="",="(0.184)",="(0.268)",="(0.225)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.134***",="-0.292***",="0.188***"
="",="(0.027)",="(0.049)",="(0.037)"
="year==2006",="-0.248***",="0.720***",="-0.230***"
="",="(0.015)",="(0.025)",="(0.018)"
="year==2011",="-0.065***",="-0.019",="0.099***"
="",="(0.013)",="(0.023)",="(0.018)"
="year==2016",="-0.215***",="-0.285***",="0.005"
="",="(0.027)",="(0.043)",="(0.036)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.471***",="-2.615***",="-3.090***"
="",="(0.280)",="(0.456)",="(0.386)"
="L.share_college",="-0.325**",="-0.921***",="1.432***"
="",="(0.128)",="(0.224)",="(0.170)"
="N",="2480.000",="2480.000",="2480.000"
="widstat",="407.784",="407.784",="407.784"
="arf",="23.450",="42.089",="0.974"
="arfp",="0.000",="0.000",="0.324"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
