="Table 1A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.793***",="-0.002",="0.181**"
="",="(0.141)",="(0.150)",="(0.087)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.004",="0.368***",="0.101***"
="",="(0.025)",="(0.025)",="(0.007)"
="year==2006",="-0.069***",="0.206***",="0.085***"
="",="(0.017)",="(0.029)",="(0.013)"
="year==2011",="0.352***",="0.248***",="0.121***"
="",="(0.022)",="(0.026)",="(0.011)"
="year==2016",="0.377***",="0.000",="0.000"
="",="(0.030)",="(.)",="(.)"
="year==2021",="0.000",="0.315***",="0.105***"
="",="(.)",="(0.030)",="(0.014)"
="Constant",="-0.319***",="-0.286***",="-0.046**"
="",="(0.014)",="(0.034)",="(0.018)"
="N",="2464.000",="2360.000",="2480.000"
="r2",="0.360",="0.126",="0.067"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.571***",="0.573**",="0.248***"
="",="(0.218)",="(0.272)",="(0.081)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.032",="-0.012",="-0.012"
="",="(0.030)",="(0.029)",="(0.010)"
="year==2006",="-0.064***",="-0.109***",="-0.022***"
="",="(0.016)",="(0.023)",="(0.008)"
="year==2011",="0.364***",="-0.090***",="0.012"
="",="(0.023)",="(0.023)",="(0.008)"
="year==2016",="0.411***",="-0.399***",="-0.115***"
="",="(0.037)",="(0.044)",="(0.012)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2464.000",="2348.000",="2480.000"
="r2",="0.390",="0.149",="0.103"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.3.)",="outcome var(ver2.3.)",="outcome var(ver2.3.)"
="growth rate",="0.392",="1.931***",="0.649***"
="",="(0.445)",="(0.623)",="(0.189)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.158**",="-0.072",="-0.009"
="",="(0.073)",="(0.100)",="(0.029)"
="year==2006",="0.026",="-0.033",="0.024"
="",="(0.033)",="(0.046)",="(0.016)"
="year==2011",="0.439***",="-0.075",="0.037**"
="",="(0.037)",="(0.048)",="(0.015)"
="year==2016",="0.476***",="-0.539***",="-0.142***"
="",="(0.073)",="(0.098)",="(0.029)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.177**",="-2.580***",="-1.881***"
="",="(0.505)",="(0.691)",="(0.311)"
="L.share_college",="1.056***",="0.753**",="0.230*"
="",="(0.288)",="(0.367)",="(0.126)"
="N",="2464.000",="2348.000",="2480.000"
="widstat",="422.943",="436.958",="407.784"
="arf",="0.777",="9.655",="12.111"
="arfp",="0.379",="0.002",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
