="Table 3: HETEROGENEITY1"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="grow_unempl_rate",="grow_manu_share",="grow_serv_share",="grow_unempl_rate",="grow_manu_share",="grow_serv_share"
="growth rate",="-1.781***",="-0.081",="-0.162***",="-0.777",="2.241*",="-0.311*"
="",="(0.452)",="(0.194)",="(0.045)",="(0.795)",="(1.198)",="(0.181)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.228***",="0.159***",="0.032***",="0.338**",="0.035",="0.080*"
="",="(0.043)",="(0.024)",="(0.005)",="(0.137)",="(0.205)",="(0.042)"
="year==2006",="-0.034",="-0.004",="0.011***",="0.136**",="0.097",="0.054*"
="",="(0.030)",="(0.017)",="(0.004)",="(0.059)",="(0.089)",="(0.028)"
="year==2011",="0.472***",="-0.010",="0.022***",="0.451***",="-0.016",="0.033*"
="",="(0.037)",="(0.017)",="(0.004)",="(0.061)",="(0.087)",="(0.020)"
="year==2016",="0.751***",="-0.182***",="0.020***",="0.720***",="-0.484**",="0.042"
="",="(0.064)",="(0.026)",="(0.006)",="(0.136)",="(0.195)",="(0.031)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="1.049**",="-0.125",="-0.043",="0.646",="-0.486",="1.153***"
="",="(0.469)",="(0.227)",="(0.056)",="(0.985)",="(1.063)",="(0.396)"
="L.share_college",="0.289",="0.855***",="-0.009",="2.300**",="3.984***",="0.519"
="",="(0.215)",="(0.137)",="(0.030)",="(1.048)",="(1.300)",="(0.395)"
="N",="700.000",="700.000",="700.000",="1774.000",="1707.000",="1780.000"
="cdf",="227.521",="227.521",="227.521",="793.260",="861.750",="783.495"
="arf",="15.954",="0.171",="15.868",="0.952",="3.498",="2.889"
="arfp",="0.000",="0.680",="0.000",="0.330",="0.062",="0.090"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
