="Table 3A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.250***",="0.264***",="-0.388***"
="",="(0.060)",="(0.086)",="(0.044)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.052***",="-0.021***",="0.044***"
="",="(0.004)",="(0.006)",="(0.007)"
="year==2006",="-0.087***",="1.332***",="-0.323***"
="",="(0.008)",="(0.029)",="(0.010)"
="year==2011",="0.032***",="0.078***",="-0.069***"
="",="(0.006)",="(0.010)",="(0.008)"
="year==2016",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2021",="0.100***",="0.053***",="-0.065***"
="",="(0.007)",="(0.013)",="(0.010)"
="Constant",="-0.063***",="-0.054***",="0.073***"
="",="(0.011)",="(0.017)",="(0.011)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.388",="0.813",="0.566"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.002",="0.307",="-0.158**"
="",="(0.094)",="(0.203)",="(0.065)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.017*",="-0.080***",="0.080***"
="",="(0.009)",="(0.025)",="(0.008)"
="year==2006",="-0.183***",="1.279***",="-0.263***"
="",="(0.005)",="(0.023)",="(0.006)"
="year==2011",="-0.056***",="0.023**",="-0.015**"
="",="(0.006)",="(0.012)",="(0.007)"
="year==2016",="-0.064***",="-0.059**",="0.031***"
="",="(0.011)",="(0.029)",="(0.011)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.435",="0.836",="0.622"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.011",="1.153***",="-0.558***"
="",="(0.104)",="(0.225)",="(0.149)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.061***",="-0.343***",="0.227***"
="",="(0.019)",="(0.044)",="(0.026)"
="year==2006",="-0.221***",="1.147***",="-0.176***"
="",="(0.011)",="(0.033)",="(0.014)"
="year==2011",="-0.086***",="-0.100***",="0.064***"
="",="(0.010)",="(0.021)",="(0.013)"
="year==2016",="-0.083***",="-0.220***",="0.123***"
="",="(0.017)",="(0.037)",="(0.026)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.737***",="-0.433",="-0.891***"
="",="(0.156)",="(0.335)",="(0.250)"
="L.share_college",="-0.385***",="-2.191***",="1.042***"
="",="(0.103)",="(0.232)",="(0.114)"
="N",="2480.000",="2480.000",="2480.000"
="widstat",="407.784",="407.784",="407.784"
="arf",="0.011",="25.908",="13.470"
="arfp",="0.915",="0.000",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
