="Table 1C: FEIV"
="",="(1)",="(2)",="(3)",="(4)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.186***",="0.168***",="0.211**",="0.216**"
="",="(0.037)",="(0.056)",="(0.092)",="(0.098)"
="year==1996",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.073***",="-0.029***",="-0.035***",="-0.028*"
="",="(0.003)",="(0.006)",="(0.011)",="(0.015)"
="year==2006",="0.106***",="0.002",="0.001",="0.008"
="",="(0.006)",="(0.004)",="(0.004)",="(0.007)"
="year==2011",="0.068***",="-0.036***",="-0.038***",="-0.032***"
="",="(0.004)",="(0.005)",="(0.006)",="(0.008)"
="year==2016",="0.000",="-0.102***",="-0.108***",="-0.105***"
="",="(.)",="(0.007)",="(0.013)",="(0.015)"
="year==2021",="0.104***",="0.000",="0.000",="0.000"
="",="(0.006)",="(.)",="(.)",="(.)"
="L.share_popfifold",="",="",="",="-0.211"
="",="",="",="",="(0.131)"
="L.share_college",="",="",="",="0.043"
="",="",="",="",="(0.057)"
="Constant",="-0.092***",="",="",=""
="",="(0.008)",="",="",=""
="N",="2480.000",="2480.000",="2480.000",="2480.000"
="r2",="0.210",="0.255",="0.255",="0.258"
="widstat",="",="",="427.772",="407.784"
="arf",="",="",="5.087",="4.717"
="arfp",="",="",="0.025",="0.030"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
