="Hetero: Unemployment"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="H-All",="H-Male",="H-Female",="L-All",="L-Male",="L-Female"
="immigration share(denominator:pop i,91)",="0.123",="0.189",="0.083",="0.071",="0.081*",="0.059"
="",="(0.093)",="(0.147)",="(0.084)",="(0.045)",="(0.045)",="(0.047)"
="year==1996",="0.039***",="0.043***",="0.036***",="0.036***",="0.035***",="0.036***"
="",="(0.010)",="(0.012)",="(0.009)",="(0.006)",="(0.007)",="(0.005)"
="year==2001",="0.026***",="0.031***",="0.022***",="0.018***",="0.017***",="0.018***"
="",="(0.008)",="(0.010)",="(0.008)",="(0.005)",="(0.005)",="(0.004)"
="year==2006",="0.006",="0.005",="0.009",="0.004",="-0.001",="0.011***"
="",="(0.007)",="(0.010)",="(0.007)",="(0.004)",="(0.005)",="(0.004)"
="year==2011",="0.007",="0.006",="0.008*",="0.007**",="0.002",="0.011***"
="",="(0.005)",="(0.007)",="(0.005)",="(0.003)",="(0.004)",="(0.003)"
="year==2016",="0.016***",="0.015***",="0.017***",="0.018***",="0.017***",="0.020***"
="",="(0.001)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.260***",="-0.374**",="-0.160*",="-0.098",="-0.144**",="-0.051"
="",="(0.086)",="(0.149)",="(0.097)",="(0.065)",="(0.068)",="(0.066)"
="First stage: Immigration share",="0.704",="0.704",="0.704",="0.438",="0.438",="0.438"
="\ \ \ \ (SE)",="0.436",="0.436",="0.436",="0.177",="0.177",="0.177"
="C-D F-stat",="52.845",="52.845",="52.845",="37.021",="37.021",="37.021"
="KP F-statistic",="2.60",="2.60",="2.60",="6.13",="6.13",="6.13"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="6.616",="8.231",="1.318",="2.094",="2.938",="1.249"
="AR p-value",="0",="0",="0",="0",="0",="0"
="Observations",="1,458",="1,458",="1,458",="1,518",="1,518",="1,518"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Hetero: Skill level"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="H-High",="H-Mid",="H-Low",="L-High",="L-Mid",="L-Low"
="immigration share(denominator:pop i,91)",="0.245",="-0.046",="-0.431*",="0.217*",="-0.097*",="-0.183**"
="",="(0.153)",="(0.100)",="(0.261)",="(0.119)",="(0.058)",="(0.091)"
="year==1996",="0.109***",="-0.169***",="0.013",="0.067***",="-0.211***",="0.097***"
="",="(0.012)",="(0.010)",="(0.022)",="(0.011)",="(0.006)",="(0.012)"
="year==2001",="0.105***",="-0.177***",="0.044**",="0.073***",="-0.212***",="0.118***"
="",="(0.010)",="(0.008)",="(0.019)",="(0.009)",="(0.005)",="(0.010)"
="year==2006",="0.051***",="-0.016**",="-0.039**",="0.019**",="-0.024***",="-0.000"
="",="(0.010)",="(0.007)",="(0.018)",="(0.009)",="(0.004)",="(0.009)"
="year==2011",="0.027***",="-0.000",="-0.034***",="0.012*",="-0.011***",="-0.008"
="",="(0.007)",="(0.005)",="(0.013)",="(0.007)",="(0.003)",="(0.006)"
="year==2016",="-0.001",="-0.004**",="-0.008***",="-0.009***",="-0.005**",="-0.001"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.002)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="0.269",="0.262*",="-0.089",="0.193",="-0.061",="-0.066"
="",="(0.175)",="(0.141)",="(0.245)",="(0.127)",="(0.071)",="(0.109)"
="First stage: Immigration share",="0.704",="0.704",="0.704",="0.438",="0.438",="0.438"
="\ \ \ \ (SE)",="0.436",="0.436",="0.436",="0.177",="0.177",="0.177"
="C-D F-stat",="52.845",="52.845",="52.845",="37.021",="37.021",="37.021"
="KP F-statistic",="2.60",="2.60",="2.60",="6.13",="6.13",="6.13"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="10.989",="0.263",="17.841",="12.666",="6.619",="7.893"
="AR p-value",="0",="1",="0",="0",="0",="0"
="Observations",="1,458",="1,458",="1,458",="1,518",="1,518",="1,518"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Hetero: Marriage share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="H-All",="H-Male",="H-Female",="L-All",="L-Male",="L-Female"
