="Panel A: POLS"
="",="(1)",="(2)",="(3)"
="",="Overall",="Male",="Female"
="immigration share(denominator:pop i,91)",="-0.025",="-0.014",="-0.042**"
="",="(0.017)",="(0.014)",="(0.021)"
="year==1996",="0.179***",="0.151***",="0.211***"
="",="(0.004)",="(0.004)",="(0.005)"
="year==2001",="0.125***",="0.103***",="0.149***"
="",="(0.004)",="(0.003)",="(0.004)"
="year==2006",="0.078***",="0.063***",="0.093***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2011",="0.057***",="0.049***",="0.067***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2016",="0.044***",="0.040***",="0.047***"
="",="(0.002)",="(0.002)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="Constant",="0.241***",="0.203***",="0.281***"
="",="(0.006)",="(0.005)",="(0.008)"
="Observations",="2,975",="2,975",="2,975"
="R-squared",="0.399",="0.360",="0.382"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Panel B: FE"
="",="(1)",="(2)",="(3)"
="",="share_mar",="share_marmale",="share_marfemale"
="immigration share(denominator:pop i,91)",="0.054***",="0.034***",="0.077***"
="",="(0.013)",="(0.012)",="(0.018)"
="year==1996",="0.191***",="0.158***",="0.229***"
="",="(0.004)",="(0.003)",="(0.005)"
="year==2001",="0.134***",="0.109***",="0.163***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2006",="0.087***",="0.068***",="0.106***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2011",="0.064***",="0.053***",="0.077***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2016",="0.045***",="0.041***",="0.050***"
="",="(0.002)",="(0.002)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="Observations",="2,975",="2,975",="2,975"
="R-squared",="0.725",="0.614",="0.702"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Panel C: FE-IV"
="",="(1)",="(2)",="(3)"
="",="share_mar",="share_marmale",="share_marfemale"
="immigration share(denominator:pop i,91)",="0.395***",="0.269**",="0.520***"
="",="(0.142)",="(0.111)",="(0.181)"
="year==1996",="0.259***",="0.210***",="0.316***"
="",="(0.011)",="(0.008)",="(0.014)"
="year==2001",="0.190***",="0.151***",="0.234***"
="",="(0.009)",="(0.007)",="(0.012)"
="year==2006",="0.136***",="0.105***",="0.169***"
="",="(0.009)",="(0.007)",="(0.012)"
="year==2011",="0.100***",="0.079***",="0.123***"
="",="(0.007)",="(0.006)",="(0.010)"
="year==2016",="0.056***",="0.049***",="0.063***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="lag_share_college",="0.179",="0.173",="0.220"
="",="(0.152)",="(0.126)",="(0.190)"
="First stage: Immigration share",="0.438",="0.438",="0.438"
="\ \ \ \ (SE)",="0.149",="0.149",="0.149"
="C-D F-stat",="71.522",="71.522",="71.522"
="KP F-statistic",="8.63",="8.63",="8.63"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960"
="AR F-statistic",="24.528",="12.420",="29.003"
="AR p-value",="0",="0",="0"
="Observations",="2,975",="2,975",="2,975"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
