="Panel B: Male (FE-IV)"
="",="(1)",="(2)",="(3)",="(4)"
="",="Unemployment",="High skill",="Mid skill",="Low skill"
="immigration share(denominator:pop i,91)",="0.168***",="0.208**",="-0.060",="-0.285***"
="",="(0.065)",="(0.104)",="(0.059)",="(0.108)"
="year==1996",="0.045***",="0.094***",="-0.095***",="-0.047***"
="",="(0.006)",="(0.009)",="(0.005)",="(0.011)"
="year==2001",="0.029***",="0.092***",="-0.099***",="-0.018*"
="",="(0.005)",="(0.008)",="(0.004)",="(0.009)"
="year==2006",="0.006",="0.044***",="-0.007*",="-0.039***"
="",="(0.004)",="(0.008)",="(0.004)",="(0.009)"
="year==2011",="0.008**",="0.027***",="0.002",="-0.033***"
="",="(0.003)",="(0.006)",="(0.003)",="(0.006)"
="year==2016",="0.017***",="-0.002",="-0.000",="-0.013***"
="",="(0.001)",="(0.002)",="(0.001)",="(0.002)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.231***",="0.210**",="0.197***",="-0.207*"
="",="(0.076)",="(0.103)",="(0.074)",="(0.115)"
="First stage: Immigration share",="0.436",="0.436",="0.436",="0.436"
="\ \ \ \ (SE)",="0.149",="0.149",="0.149",="0.149"
="C-D F-stat",="70.791",="70.791",="70.791",="70.791"
="KP F-statistic",="8.54",="8.54",="8.54",="8.54"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="12.692",="12.348",="1.368",="21.635"
="AR p-value",="0",="0",="0",="0"
="Observations",="2,976",="2,976",="2,976",="2,976"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Panel C: Female (FE-IV)"
="",="(1)",="(2)",="(3)",="(4)"
="",="fe_unempl_rate",="share_fhighsk",="share_fmidsk",="share_flowsk"
="immigration share(denominator:pop i,91)",="0.099**",="0.320**",="-0.124*",="-0.366***"
="",="(0.048)",="(0.138)",="(0.074)",="(0.136)"
="year==1996",="0.041***",="0.098***",="-0.327***",="0.174***"
="",="(0.004)",="(0.012)",="(0.006)",="(0.013)"
="year==2001",="0.023***",="0.101***",="-0.326***",="0.195***"
="",="(0.003)",="(0.010)",="(0.005)",="(0.011)"
="year==2006",="0.013***",="0.037***",="-0.039***",="-0.014"
="",="(0.003)",="(0.010)",="(0.005)",="(0.010)"
="year==2011",="0.012***",="0.022***",="-0.017***",="-0.020**"
="",="(0.003)",="(0.008)",="(0.004)",="(0.008)"
="year==2016",="0.019***",="-0.006**",="-0.011***",="-0.002"
="",="(0.001)",="(0.003)",="(0.002)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.093",="0.303**",="-0.248***",="0.112"
="",="(0.059)",="(0.133)",="(0.089)",="(0.130)"
="First stage: Immigration share",="0.436",="0.436",="0.436",="0.436"
="\ \ \ \ (SE)",="0.149",="0.149",="0.149",="0.149"
="C-D F-stat",="70.791",="70.791",="70.791",="70.791"
="KP F-statistic",="8.54",="8.54",="8.54",="8.54"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="4.278",="21.836",="5.217",="21.268"
="AR p-value",="0",="0",="0",="0"
="Observations",="2,976",="2,976",="2,976",="2,976"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
