="Panel A: Overall (FE-IV)"
="",="(1)",="(2)",="(3)",="(4)"
="",="Unemployment",="High skill",="Mid skill",="Low skill"
="immigration share(denominator:pop i,91)",="0.132***",="0.263**",="-0.146*",="-0.291***"
="",="(0.050)",="(0.118)",="(0.077)",="(0.113)"
="year==1996",="0.043***",="0.094***",="-0.198***",="0.052***"
="",="(0.005)",="(0.010)",="(0.006)",="(0.011)"
="year==2001",="0.027***",="0.094***",="-0.201***",="0.079***"
="",="(0.004)",="(0.009)",="(0.005)",="(0.009)"
="year==2006",="0.009**",="0.039***",="-0.026***",="-0.022**"
="",="(0.004)",="(0.009)",="(0.005)",="(0.009)"
="year==2011",="0.010***",="0.023***",="-0.010***",="-0.023***"
="",="(0.003)",="(0.007)",="(0.004)",="(0.006)"
="year==2016",="0.018***",="-0.004**",="-0.005***",="-0.006***"
="",="(0.001)",="(0.002)",="(0.001)",="(0.002)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.161***",="0.239**",="0.091",="-0.119"
="",="(0.059)",="(0.113)",="(0.089)",="(0.116)"
="First stage: Immigration share",="0.436",="0.436",="0.436",="0.436"
="\ \ \ \ (SE)",="0.149",="0.149",="0.149",="0.149"
="C-D F-stat",="70.791",="70.791",="70.791",="70.791"
="KP F-statistic",="8.54",="8.54",="8.54",="8.54"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="9.768",="20.545",="8.558",="19.310"
="AR p-value",="0",="0",="0",="0"
="Observations",="2,976",="2,976",="2,976",="2,976"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
