="Table 3A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="0.233***",="0.111",="-0.302***"
="",="(0.041)",="(0.069)",="(0.036)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.062***",="-0.019***",="0.032***"
="",="(0.005)",="(0.007)",="(0.008)"
="year==2006",="-0.108***",="1.304***",="-0.289***"
="",="(0.005)",="(0.026)",="(0.008)"
="year==2011",="-0.009",="0.045***",="-0.009"
="",="(0.006)",="(0.007)",="(0.007)"
="year==2016",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2021",="0.066***",="0.015**",="-0.011"
="",="(0.006)",="(0.006)",="(0.008)"
="Constant",="-0.038***",="-0.013",="0.027***"
="",="(0.005)",="(0.009)",="(0.007)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.394",="0.813",="0.567"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="0.064",="0.093",="-0.007"
="",="(0.093)",="(0.229)",="(0.064)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.013",="-0.035**",="0.060***"
="",="(0.009)",="(0.015)",="(0.007)"
="year==2006",="-0.180***",="1.289***",="-0.266***"
="",="(0.008)",="(0.030)",="(0.006)"
="year==2011",="-0.061***",="0.031",="-0.023***"
="",="(0.009)",="(0.020)",="(0.008)"
="year==2016",="-0.064***",="-0.015**",="0.008"
="",="(0.006)",="(0.006)",="(0.008)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.435",="0.836",="0.621"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="0.060",="1.472***",="-0.655***"
="",="(0.144)",="(0.281)",="(0.205)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.057***",="-0.101***",="0.112***"
="",="(0.015)",="(0.024)",="(0.014)"
="year==2006",="-0.219***",="1.239***",="-0.219***"
="",="(0.012)",="(0.029)",="(0.012)"
="year==2011",="-0.090***",="-0.158***",="0.087***"
="",="(0.012)",="(0.031)",="(0.021)"
="year==2016",="-0.082***",="-0.059***",="0.045***"
="",="(0.007)",="(0.012)",="(0.010)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.731***",="-0.578*",="-0.827***"
="",="(0.161)",="(0.341)",="(0.235)"
="L.share_college",="-0.395***",="-2.089***",="0.980***"
="",="(0.095)",="(0.244)",="(0.121)"
="N",="2480.000",="2480.000",="2480.000"
="widstat",="175.877",="175.877",="175.877"
="arf",="0.169",="28.531",="10.902"
="arfp",="0.681",="0.000",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
