="Table 4: HETEROGENEITY1"
="year==2016",="-0.109***",="-0.130***",="0.062***",="-0.082***",="-0.008",="0.017"
="",="(0.005)",="(0.016)",="(0.007)",="(0.011)",="(0.014)",="(0.013)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.093",="-0.295",="-0.249",="0.781***",="-0.520",="-0.876***"
="",="(0.118)",="(0.427)",="(0.170)",="(0.189)",="(0.381)",="(0.260)"
="L.share_college",="-0.745***",="-1.955***",="0.823***",="-0.951***",="-0.880*",="0.958**"
="",="(0.067)",="(0.276)",="(0.090)",="(0.330)",="(0.489)",="(0.378)"
="N",="700.000",="700.000",="700.000",="1780.000",="1780.000",="1780.000"
="widstat",="140.525",="140.525",="140.525",="53.401",="53.401",="53.401"
="arf",="2.868",="24.838",="0.911",="0.202",="3.717",="12.289"
="arfp",="0.093",="0.000",="0.341",="0.653",="0.055",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
