="Table 1A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="0.163",="-0.336**",="-0.139***"
="",="(0.179)",="(0.131)",="(0.020)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.232***",="0.317***",="0.062***"
="",="(0.037)",="(0.030)",="(0.005)"
="year==2006",="-0.322***",="0.179***",="0.070***"
="",="(0.039)",="(0.023)",="(0.006)"
="year==2011",="0.000",="0.187***",="0.055***"
="",="(.)",="(0.023)",="(0.005)"
="year==2016",="0.214***",="0.000",="0.000"
="",="(0.034)",="(.)",="(.)"
="year==2021",="-0.349***",="0.229***",="0.036***"
="",="(0.031)",="(0.028)",="(0.005)"
="Constant",="0.071",="-0.205***",="0.004"
="",="(0.045)",="(0.021)",="(0.004)"
="N",="2474.000",="2411.000",="2480.000"
="r2",="0.277",="0.072",="0.130"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="-0.000",="0.399",="0.017"
="",="(0.418)",="(0.302)",="(0.056)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.107***",="0.141***",="0.035***"
="",="(0.027)",="(0.038)",="(0.007)"
="year==2006",="0.020",="-0.011",="0.040***"
="",="(0.022)",="(0.027)",="(0.006)"
="year==2011",="0.362***",="-0.099***",="0.006"
="",="(0.049)",="(0.038)",="(0.006)"
="year==2016",="0.565***",="-0.238***",="-0.037***"
="",="(0.028)",="(0.029)",="(0.005)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2474.000",="2407.000",="2480.000"
="r2",="0.321",="0.092",="0.137"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="0.863",="1.960**",="-0.342**"
="",="(0.790)",="(0.768)",="(0.174)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.186***",="0.342***",="0.020"
="",="(0.060)",="(0.077)",="(0.016)"
="year==2006",="0.070",="0.135**",="0.027*"
="",="(0.045)",="(0.057)",="(0.014)"
="year==2011",="0.298***",="-0.170**",="0.036**"
="",="(0.069)",="(0.078)",="(0.016)"
="year==2016",="0.555***",="-0.225***",="-0.037***"
="",="(0.036)",="(0.039)",="(0.007)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.743",="-0.282",="0.429"
="",="(0.874)",="(0.882)",="(0.295)"
="L.share_college",="0.581**",="1.334***",="0.191*"
="",="(0.289)",="(0.392)",="(0.103)"
="N",="2474.000",="2407.000",="2480.000"
="widstat",="174.475",="209.352",="175.877"
="arf",="1.235",="6.943",="4.030"
="arfp",="0.267",="0.009",="0.045"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
