="Table 2A: POLS"
="",="(1)",="(2)",="(3)"
="",="share_highsk",="share_midsk",="share_lowsk"
="immigration share(denominator:pop i,t-1)",="0.019",="0.070***",="-0.100***"
="",="(0.040)",="(0.017)",="(0.023)"
="year==1996",="0.033***",="-0.180***",="0.100***"
="",="(0.004)",="(0.002)",="(0.003)"
="year==2001",="0.045***",="-0.186***",="0.118***"
="",="(0.003)",="(0.002)",="(0.003)"
="year==2006",="-0.003",="-0.010***",="0.012***"
="",="(0.003)",="(0.002)",="(0.002)"
="year==2011",="-0.008***",="0.001",="0.003*"
="",="(0.002)",="(0.001)",="(0.002)"
="year==2016",="-0.014***",="-0.004***",="0.003**"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="Constant",="0.338***",="0.313***",="0.286***"
="",="(0.010)",="(0.005)",="(0.006)"
="N",="2976.000",="2976.000",="2976.000"
="r2",="0.044",="0.743",="0.396"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)",="(3)"
="",="share_highsk",="share_midsk",="share_lowsk"
="immigration share(denominator:pop i,t-1)",="-0.089***",="0.008",="0.087**"
="",="(0.024)",="(0.017)",="(0.034)"
="year==1996",="0.026***",="-0.184***",="0.113***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2001",="0.039***",="-0.189***",="0.129***"
="",="(0.003)",="(0.002)",="(0.004)"
="year==2006",="-0.009***",="-0.014***",="0.023***"
="",="(0.002)",="(0.002)",="(0.003)"
="year==2011",="-0.012***",="-0.001",="0.009***"
="",="(0.002)",="(0.001)",="(0.002)"
="year==2016",="-0.015***",="-0.004***",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2976.000",="2976.000",="2976.000"
="r2",="0.413",="0.930",="0.715"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)",="(3)"
="",="share_highsk",="share_midsk",="share_lowsk"
="immigration share(denominator:pop i,t-1)",="0.129",="-0.552***",="0.116"
="",="(0.086)",="(0.144)",="(0.082)"
="year==1996",="0.091***",="-0.231***",="0.075***"
="",="(0.007)",="(0.010)",="(0.010)"
="year==2001",="0.090***",="-0.227***",="0.099***"
="",="(0.006)",="(0.008)",="(0.008)"
="year==2006",="0.033***",="-0.051***",="0.001"
="",="(0.006)",="(0.008)",="(0.007)"
="year==2011",="0.016***",="-0.023***",="-0.006"
="",="(0.004)",="(0.006)",="(0.004)"
="year==2016",="-0.005**",="-0.007***",="-0.005***"
="",="(0.002)",="(0.002)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="lag_share_college",="0.516***",="-0.071*",="-0.422***"
="",="(0.040)",="(0.038)",="(0.045)"
="N",="2976.000",="2976.000",="2976.000"
="widstat",="16.267",="16.267",="16.267"
="arf",="3.552",="45.874",="1.510"
="arfp",="0.060",="0.000",="0.220"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
