="Table 1A: POLS"
="",="(1)",="(2)",="(3)"
="",="unempl_rate",="ma_unempl_rate",="fe_unempl_rate"
="immigration share(denominator:pop i,t-1)",="0.011",="0.008",="0.017**"
="",="(0.008)",="(0.008)",="(0.008)"
="year==1996",="0.040***",="0.042***",="0.036***"
="",="(0.002)",="(0.002)",="(0.002)"
="year==2001",="0.023***",="0.026***",="0.019***"
="",="(0.001)",="(0.002)",="(0.001)"
="year==2006",="0.004***",="0.001",="0.008***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2011",="0.006***",="0.003**",="0.008***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2016",="0.018***",="0.018***",="0.019***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="Constant",="0.043***",="0.047***",="0.038***"
="",="(0.003)",="(0.003)",="(0.003)"
="N",="2976.000",="2976.000",="2976.000"
="r2",="0.197",="0.191",="0.165"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1B: FE"
="",="(1)",="(2)",="(3)"
="",="unempl_rate",="ma_unempl_rate",="fe_unempl_rate"
="immigration share(denominator:pop i,t-1)",="-0.011",="-0.011",="-0.010"
="",="(0.010)",="(0.012)",="(0.014)"
="year==1996",="0.038***",="0.041***",="0.034***"
="",="(0.002)",="(0.002)",="(0.002)"
="year==2001",="0.022***",="0.025***",="0.018***"
="",="(0.002)",="(0.002)",="(0.002)"
="year==2006",="0.003**",="-0.001",="0.007***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2011",="0.005***",="0.002**",="0.007***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2016",="0.018***",="0.018***",="0.019***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2976.000",="2976.000",="2976.000"
="r2",="0.388",="0.374",="0.304"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1C: FEIV"
="",="(1)",="(2)",="(3)"
="",="unempl_rate",="ma_unempl_rate",="fe_unempl_rate"
="immigration share(denominator:pop i,t-1)",="0.120***",="0.294**",="-0.002"
="",="(0.043)",="(0.122)",="(0.113)"
="year==1996",="0.046***",="0.058***",="0.036***"
="",="(0.006)",="(0.010)",="(0.009)"
="year==2001",="0.028***",="0.039***",="0.019***"
="",="(0.004)",="(0.008)",="(0.007)"
="year==2006",="0.009**",="0.015*",="0.008"
="",="(0.004)",="(0.008)",="(0.007)"
="year==2011",="0.008***",="0.011**",="0.008*"
="",="(0.002)",="(0.004)",="(0.004)"
="year==2016",="0.018***",="0.018***",="0.019***"
="",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="lag_share_college",="-0.021",="-0.049*",="0.011"
="",="(0.026)",="(0.030)",="(0.026)"
="N",="2976.000",="2976.000",="2976.000"
="widstat",="16.267",="16.267",="16.267"
="arf",="5.059",="8.979",="0.000"
="arfp",="0.025",="0.003",="0.984"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
