="Table 5: Hetero"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="unempl_rate",="ma_unempl_rate",="fe_unempl_rate",="unempl_rate",="ma_unempl_rate",="fe_unempl_rate"
="immigration share(denominator:pop i,t-1)",="0.110**",="0.312**",="-0.024",="-0.106",="0.008",="-0.198"
="",="(0.047)",="(0.147)",="(0.136)",="(0.349)",="(0.314)",="(0.388)"
="year==1996",="0.043***",="0.063***",="0.028*",="0.028",="0.033",="0.023"
="",="(0.009)",="(0.015)",="(0.015)",="(0.022)",="(0.021)",="(0.023)"
="year==2001",="0.029***",="0.048***",="0.015",="0.012",="0.015",="0.008"
="",="(0.007)",="(0.012)",="(0.012)",="(0.016)",="(0.016)",="(0.017)"
="year==2006",="0.007",="0.017",="0.002",="-0.005",="-0.005",="-0.002"
="",="(0.006)",="(0.011)",="(0.010)",="(0.019)",="(0.018)",="(0.021)"
="year==2011",="0.006**",="0.012**",="0.003",="0.001",="-0.001",="0.003"
="",="(0.003)",="(0.006)",="(0.006)",="(0.011)",="(0.011)",="(0.012)"
="year==2016",="0.017***",="0.019***",="0.016***",="0.019***",="0.016***",="0.021***"
="",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.098",="-0.066",="-0.093",="-0.007",="-0.052",="0.037"
="",="(0.072)",="(0.083)",="(0.084)",="(0.045)",="(0.042)",="(0.051)"
="N",="1458.000",="1458.000",="1458.000",="1518.000",="1518.000",="1518.000"
="widstat",="10.602",="10.602",="10.602",="0.798",="0.798",="0.798"
="arf",="3.075",="7.088",="0.033",="0.116",="0.001",="0.428"
="arfp",="0.081",="0.008",="0.855",="0.734",="0.981",="0.514"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 5: Hetero"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="share_highsk",="share_midsk",="share_lowsk",="share_highsk",="share_midsk",="share_lowsk"
="immigration share(denominator:pop i,t-1)",="0.024",="-0.462***",="0.116",="1.199",="-1.328",="0.225"
="",="(0.077)",="(0.141)",="(0.100)",="(1.406)",="(1.443)",="(0.501)"
="year==1996",="0.096***",="-0.214***",="0.053***",="0.129",="-0.284***",="0.116***"
="",="(0.009)",="(0.013)",="(0.016)",="(0.085)",="(0.088)",="(0.033)"
="year==2001",="0.093***",="-0.214***",="0.080***",="0.117*",="-0.264***",="0.133***"
