="Table 3A: POLS"
="",="(1)",="(2)",="(3)"
="",="share_mar",="share_marmale",="share_marfemale"
="immigration share(denominator:pop i,t-1)",="-0.124***",="-0.086***",="-0.172***"
="",="(0.026)",="(0.022)",="(0.032)"
="year==1996",="0.174***",="0.147***",="0.205***"
="",="(0.004)",="(0.004)",="(0.005)"
="year==2001",="0.121***",="0.100***",="0.144***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2006",="0.073***",="0.059***",="0.087***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2011",="0.055***",="0.047***",="0.064***"
="",="(0.002)",="(0.003)",="(0.003)"
="year==2016",="0.044***",="0.040***",="0.048***"
="",="(0.002)",="(0.002)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="Constant",="0.265***",="0.222***",="0.312***"
="",="(0.007)",="(0.006)",="(0.009)"
="N",="2975.000",="2975.000",="2975.000"
="r2",="0.424",="0.376",="0.412"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3B: FE"
="",="(1)",="(2)",="(3)"
="",="share_mar",="share_marmale",="share_marfemale"
="immigration share(denominator:pop i,t-1)",="0.020",="0.058**",="-0.031"
="",="(0.031)",="(0.028)",="(0.045)"
="year==1996",="0.185***",="0.157***",="0.215***"
="",="(0.004)",="(0.003)",="(0.005)"
="year==2001",="0.129***",="0.108***",="0.152***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2006",="0.082***",="0.068***",="0.096***"
="",="(0.003)",="(0.003)",="(0.004)"
="year==2011",="0.060***",="0.052***",="0.069***"
="",="(0.002)",="(0.003)",="(0.004)"
="year==2016",="0.044***",="0.040***",="0.048***"
="",="(0.002)",="(0.002)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2975.000",="2975.000",="2975.000"
="r2",="0.720",="0.613",="0.696"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3C: FEIV"
="",="(1)",="(2)",="(3)"
="",="share_mar",="share_marmale",="share_marfemale"
="immigration share(denominator:pop i,t-1)",="0.331**",="0.328*",="0.235"
="",="(0.151)",="(0.170)",="(0.164)"
="year==1996",="0.264***",="0.220***",="0.308***"
="",="(0.011)",="(0.012)",="(0.012)"
="year==2001",="0.192***",="0.158***",="0.225***"
="",="(0.009)",="(0.010)",="(0.010)"
="year==2006",="0.134***",="0.109***",="0.155***"
="",="(0.009)",="(0.010)",="(0.010)"
="year==2011",="0.095***",="0.079***",="0.109***"
="",="(0.006)",="(0.006)",="(0.007)"
="year==2016",="0.056***",="0.050***",="0.063***"
="",="(0.002)",="(0.003)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="lag_share_college",="0.598***",="0.460***",="0.769***"
="",="(0.034)",="(0.034)",="(0.040)"
="N",="2975.000",="2975.000",="2975.000"
="widstat",="19.649",="19.649",="19.649"
="arf",="4.979",="3.590",="2.084"
="arfp",="0.026",="0.059",="0.149"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
