="Table 4A: POLS"
="",="(1)",="(2)",="(3)"
="",="share_stem",="share_stemm",="share_stemf"
="immigration share(denominator:pop i,t-1)",="0.055***",="-0.008",="0.097***"
="",="(0.008)",="(0.013)",="(0.004)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2006",="0.000",="0.002",="0.000"
="",="(.)",="(0.002)",="(.)"
="year==2011",="-0.002*",="0.003*",="-0.003***"
="",="(0.001)",="(0.002)",="(0.001)"
="year==2016",="-0.006***",="0.000",="-0.008***"
="",="(0.001)",="(.)",="(0.001)"
="year==2021",="-0.011***",="-0.008***",="-0.007***"
="",="(0.001)",="(0.002)",="(0.001)"
="Constant",="0.097***",="0.189***",="0.007***"
="",="(0.002)",="(0.004)",="(0.001)"
="N",="1983.000",="1982.000",="1983.000"
="r2",="0.051",="0.006",="0.366"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4B: FE"
="",="(1)",="(2)",="(3)"
="",="share_stem",="share_stemm",="share_stemf"
="immigration share(denominator:pop i,t-1)",="0.047*",="0.010",="0.034*"
="",="(0.028)",="(0.041)",="(0.020)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2006",="0.011***",="0.010***",="0.003***"
="",="(0.002)",="(0.003)",="(0.001)"
="year==2011",="0.009***",="0.011***",="0.001"
="",="(0.002)",="(0.003)",="(0.001)"
="year==2016",="0.005***",="0.007***",="-0.001"
="",="(0.001)",="(0.002)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="1983.000",="1982.000",="1983.000"
="r2",="0.039",="0.020",="0.020"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4C: FEIV"
="",="(1)",="(2)",="(3)"
="",="share_stem",="share_stemm",="share_stemf"
="immigration share(denominator:pop i,t-1)",="0.023",="-0.014",="0.006"
="",="(0.045)",="(0.059)",="(0.020)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2006",="0.011***",="0.007",="0.003"
="",="(0.004)",="(0.005)",="(0.002)"
="year==2011",="0.009***",="0.009**",="0.002"
="",="(0.003)",="(0.004)",="(0.002)"
="year==2016",="0.005***",="0.007***",="-0.001"
="",="(0.001)",="(0.002)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="lag_share_college",="0.021",="-0.038",="0.031**"
="",="(0.027)",="(0.043)",="(0.015)"
="N",="1983.000",="1982.000",="1983.000"
="widstat",="28.065",="27.972",="28.065"
="arf",="0.303",="0.054",="0.080"
="arfp",="0.582",="0.816",="0.777"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
