="Table 3A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="0.671***",="0.641***",="-0.075"
="",="(0.096)",="(0.150)",="(0.105)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.090***",="0.016",="0.081***"
="",="(0.007)",="(0.010)",="(0.010)"
="year==2006",="-0.038***",="1.411***",="-0.292***"
="",="(0.014)",="(0.039)",="(0.016)"
="year==2011",="0.136***",="0.183***",="0.026*"
="",="(0.012)",="(0.018)",="(0.015)"
="year==2016",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2021",="0.207***",="0.152***",="0.022"
="",="(0.015)",="(0.022)",="(0.017)"
="Constant",="-0.138***",="-0.119***",="0.022"
="",="(0.019)",="(0.030)",="(0.022)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.272",="0.699",="0.355"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="0.393***",="0.677***",="0.134"
="",="(0.074)",="(0.236)",="(0.136)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.081***",="-0.141***",="0.033**"
="",="(0.011)",="(0.027)",="(0.017)"
="year==2006",="-0.238***",="1.257***",="-0.318***"
="",="(0.008)",="(0.028)",="(0.010)"
="year==2011",="-0.056***",="0.029",="-0.007"
="",="(0.008)",="(0.018)",="(0.015)"
="year==2016",="-0.165***",="-0.158***",="-0.053**"
="",="(0.012)",="(0.033)",="(0.021)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2480.000",="2480.000",="2480.000"
="r2",="0.389",="0.744",="0.406"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 3C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="0.789***",="2.380***",="0.303"
="",="(0.180)",="(0.357)",="(0.256)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.111***",="-0.488***",="0.177***"
="",="(0.026)",="(0.066)",="(0.040)"
="year==2006",="-0.222***",="1.148***",="-0.173***"
="",="(0.012)",="(0.044)",="(0.019)"
="year==2011",="-0.055***",="-0.100***",="0.102***"
="",="(0.013)",="(0.032)",="(0.020)"
="year==2016",="-0.206***",="-0.411***",="-0.003"
="",="(0.026)",="(0.056)",="(0.040)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.330***",="-3.215***",="-3.301***"
="",="(0.254)",="(0.647)",="(0.497)"
="L.share_college",="-0.082",="-2.567***",="1.344***"
="",="(0.109)",="(0.364)",="(0.176)"
="N",="2480.000",="2480.000",="2480.000"
="widstat",="407.784",="407.784",="407.784"
="arf",="19.372",="44.782",="1.417"
="arfp",="0.000",="0.000",="0.234"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
