="Table 1A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="0.721***",="0.226",="0.198**"
="",="(0.207)",="(0.215)",="(0.094)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.355***",="0.383***",="0.105***"
="",="(0.021)",="(0.029)",="(0.007)"
="year==2006",="-0.399***",="0.241***",="0.098***"
="",="(0.027)",="(0.036)",="(0.014)"
="year==2011",="0.000",="0.240***",="0.129***"
="",="(.)",="(0.031)",="(0.012)"
="year==2016",="0.068**",="0.000",="0.000"
="",="(0.032)",="(.)",="(.)"
="year==2021",="-0.359***",="0.317***",="0.109***"
="",="(0.027)",="(0.036)",="(0.015)"
="Constant",="0.098***",="-0.280***",="-0.041**"
="",="(0.032)",="(0.045)",="(0.019)"
="N",="2474.000",="2411.000",="2480.000"
="r2",="0.289",="0.075",="0.065"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="0.786**",="1.010***",="0.286***"
="",="(0.352)",="(0.344)",="(0.082)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.004",="-0.023",="-0.015"
="",="(0.042)",="(0.036)",="(0.011)"
="year==2006",="-0.042***",="-0.080***",="-0.012"
="",="(0.015)",="(0.030)",="(0.008)"
="year==2011",="0.354***",="-0.111***",="0.016"
="",="(0.030)",="(0.028)",="(0.010)"
="year==2016",="0.416***",="-0.432***",="-0.122***"
="",="(0.055)",="(0.052)",="(0.013)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2474.000",="2407.000",="2480.000"
="r2",="0.333",="0.097",="0.099"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 1C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="-0.215",="2.323***",="0.712***"
="",="(0.538)",="(0.879)",="(0.209)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.258***",="-0.044",="-0.009"
="",="(0.086)",="(0.143)",="(0.031)"
="year==2006",="0.091**",="0.021",="0.038**"
="",="(0.040)",="(0.069)",="(0.017)"
="year==2011",="0.491***",="-0.079",="0.042***"
="",="(0.046)",="(0.076)",="(0.016)"
="year==2016",="0.614***",="-0.561***",="-0.151***"
="",="(0.087)",="(0.142)",="(0.032)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.482*",="-2.366**",="-1.883***"
="",="(0.804)",="(1.048)",="(0.338)"
="L.share_college",="1.416***",="1.274**",="0.315**"
="",="(0.379)",="(0.518)",="(0.139)"
="N",="2474.000",="2407.000",="2480.000"
="widstat",="421.538",="433.354",="407.784"
="arf",="0.159",="7.023",="11.943"
="arfp",="0.691",="0.008",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
