="Table 2A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="-0.706",="0.184",="0.413***"
="",="(0.709)",="(0.172)",="(0.119)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.270***",="0.032",="0.033***"
="",="(0.078)",="(0.026)",="(0.011)"
="year==2006",="0.000",="0.019",="0.232***"
="",="(.)",="(0.030)",="(0.017)"
="year==2011",="0.227***",="0.052*",="0.114***"
="",="(0.077)",="(0.031)",="(0.012)"
="year==2016",="0.127",="0.000",="0.000"
="",="(0.092)",="(.)",="(.)"
="year==2021",="0.073***",="-0.030",="0.141***"
="",="(0.018)",="(0.032)",="(0.019)"
="Constant",="-0.006",="0.048",="-0.031"
="",="(0.051)",="(0.036)",="(0.025)"
="N",="2477.000",="2451.000",="2480.000"
="r2",="0.024",="0.008",="0.131"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="-1.327",="0.462",="0.526***"
="",="(1.226)",="(0.294)",="(0.145)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.277*",="0.032",="-0.123***"
="",="(0.158)",="(0.036)",="(0.016)"
="year==2006",="-0.060**",="0.051***",="0.089***"
="",="(0.028)",="(0.019)",="(0.010)"
="year==2011",="0.187",="0.070***",="-0.033***"
="",="(0.117)",="(0.026)",="(0.011)"
="year==2016",="0.145",="-0.015",="-0.158***"
="",="(0.183)",="(0.040)",="(0.022)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2477.000",="2451.000",="2480.000"
="r2",="0.032",="0.011",="0.193"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="1.815",="-0.523",="0.840***"
="",="(1.304)",="(0.737)",="(0.306)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.090",="0.240**",="-0.132***"
="",="(0.173)",="(0.120)",="(0.045)"
="year==2006",="-0.087**",="0.157***",="0.107***"
="",="(0.040)",="(0.049)",="(0.023)"
="year==2011",="0.057",="0.195***",="-0.031"
="",="(0.035)",="(0.060)",="(0.023)"
="year==2016",="-0.296",="0.184",="-0.195***"
="",="(0.188)",="(0.126)",="(0.049)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-1.820*",="-3.262***",="-0.192"
="",="(1.013)",="(0.890)",="(0.309)"
="L.share_college",="-0.020",="0.262",="0.361**"
="",="(0.340)",="(0.376)",="(0.176)"
="N",="2477.000",="2451.000",="2480.000"
="widstat",="414.304",="433.301",="407.784"
="arf",="1.982",="0.504",="7.564"
="arfp",="0.160",="0.478",="0.006"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
