="Table 4: HETEROGENEITY1"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="-1.457***",="0.345",="0.430**",="0.002",="3.232**",="0.792***"
="",="(0.506)",="(0.228)",="(0.204)",="(0.773)",="(1.296)",="(0.296)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.187***",="0.127***",="-0.028",="0.289**",="-0.100",="-0.025"
="",="(0.049)",="(0.036)",="(0.031)",="(0.138)",="(0.224)",="(0.049)"
="year==2006",="-0.059*",="-0.009",="0.011",="0.139**",="0.073",="0.031"
="",="(0.036)",="(0.025)",="(0.020)",="(0.065)",="(0.101)",="(0.025)"
="year==2011",="0.509***",="-0.036",="-0.007",="0.501***",="-0.039",="0.054**"
="",="(0.044)",="(0.025)",="(0.022)",="(0.063)",="(0.099)",="(0.021)"
="year==2016",="0.747***",="-0.293***",="-0.098***",="0.585***",="-0.685***",="-0.178***"
="",="(0.076)",="(0.031)",="(0.027)",="(0.127)",="(0.212)",="(0.046)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.679",="-0.896**",="-1.002***",="-1.947**",="-2.812**",="-2.012***"
="",="(0.492)",="(0.358)",="(0.332)",="(0.934)",="(1.269)",="(0.377)"
="L.share_college",="0.320",="1.041***",="0.080",="2.485**",="3.103**",="0.175"
="",="(0.275)",="(0.187)",="(0.151)",="(1.200)",="(1.417)",="(0.419)"
="N",="700.000",="700.000",="700.000",="1774.000",="1707.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="352.280",="365.785",="339.852"
="arf",="8.164",="2.435",="4.602",="0.000",="6.234",="7.283"
="arfp",="0.005",="0.121",="0.034",="0.998",="0.013",="0.007"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY2"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)",="outcome var(ver2.2.)"
="growth rate",="0.689***",="0.969***",="-0.327",="2.471",="-0.973",="1.166***"
="",="(0.235)",="(0.262)",="(0.210)",="(1.968)",="(1.078)",="(0.422)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.121***",="-0.088**",="-0.057",="-0.247",="0.285",="-0.180***"
="",="(0.029)",="(0.038)",="(0.045)",="(0.264)",="(0.188)",="(0.068)"
