="Table 4: HETEROGENEITY1"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)"
="growth rate",="-1.781***",="-0.081",="-0.122***",="-0.777",="2.241*",="-0.245"
="",="(0.452)",="(0.194)",="(0.035)",="(0.795)",="(1.198)",="(0.197)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.228***",="0.159***",="0.029***",="0.338**",="0.035",="0.087**"
="",="(0.043)",="(0.024)",="(0.005)",="(0.137)",="(0.205)",="(0.037)"
="year==2006",="-0.034",="-0.004",="0.017***",="0.136**",="0.097",="0.057***"
="",="(0.030)",="(0.017)",="(0.003)",="(0.059)",="(0.089)",="(0.021)"
="year==2011",="0.472***",="-0.010",="0.022***",="0.451***",="-0.016",="0.049***"
="",="(0.037)",="(0.017)",="(0.004)",="(0.061)",="(0.087)",="(0.016)"
="year==2016",="0.751***",="-0.182***",="0.018***",="0.720***",="-0.484**",="0.030"
="",="(0.064)",="(0.026)",="(0.005)",="(0.136)",="(0.195)",="(0.032)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="1.049**",="-0.125",="-0.112***",="0.646",="-0.486",="0.439"
="",="(0.469)",="(0.227)",="(0.043)",="(0.985)",="(1.063)",="(0.322)"
="L.share_college",="0.289",="0.855***",="-0.022",="2.300**",="3.984***",="0.466"
="",="(0.215)",="(0.137)",="(0.023)",="(1.048)",="(1.300)",="(0.309)"
="N",="700.000",="700.000",="700.000",="1774.000",="1707.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="352.280",="365.785",="339.852"
="arf",="15.954",="0.171",="14.542",="0.952",="3.498",="1.529"
="arfp",="0.000",="0.680",="0.000",="0.330",="0.062",="0.217"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY2"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)"
="growth rate",="0.095",="0.364***",="-0.813***",="1.963",="-1.806*",="-0.059"
="",="(0.121)",="(0.096)",="(0.134)",="(2.496)",="(1.077)",="(0.432)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.164***",="-0.024",="-0.003",="-0.225",="0.333*",="-0.014"
="",="(0.016)",="(0.018)",="(0.018)",="(0.338)",="(0.188)",="(0.066)"
="year==2006",="-0.011",="-0.013",="0.108***",="-0.136**",="0.134*",="0.173***"
="",="(0.014)",="(0.015)",="(0.013)",="(0.055)",="(0.070)",="(0.039)"
="year==2011",="0.062***",="-0.040***",="0.048***",="0.042",="0.186***",="-0.021"
="",="(0.012)",="(0.013)",="(0.012)",="(0.045)",="(0.071)",="(0.027)"
="year==2016",="0.070***",="-0.069***",="0.101***",="-0.330",="0.470**",="-0.018"
="",="(0.016)",="(0.016)",="(0.018)",="(0.373)",="(0.188)",="(0.067)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="-0.290",="-0.258",="0.173",="0.495",="-0.963",="3.067***"
="",="(0.224)",="(0.179)",="(0.184)",="(1.193)",="(0.821)",="(0.699)"
="L.share_college",="0.383***",="-0.476***",="0.078",="-0.640",="-1.433",="1.543***"
="",="(0.095)",="(0.105)",="(0.093)",="(0.672)",="(1.002)",="(0.563)"
="N",="700.000",="700.000",="700.000",="1777.000",="1751.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="347.301",="369.252",="339.852"
="arf",="0.608",="13.211",="50.587",="0.625",="2.824",="0.019"
="arfp",="0.437",="0.000",="0.000",="0.430",="0.094",="0.892"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY3"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)"
="growth rate",="0.118",="0.081",="0.039",="-0.007",="1.014***",="-0.700***"
="",="(0.081)",="(0.311)",="(0.110)",="(0.157)",="(0.296)",="(0.201)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="-0.134***",="-0.349***",="0.173***",="-0.065**",="-0.213***",="0.248***"
="",="(0.011)",="(0.037)",="(0.010)",="(0.030)",="(0.064)",="(0.039)"
="year==2006",="-0.307***",="1.344***",="-0.245***",="-0.208***",="1.085***",="-0.144***"
="",="(0.009)",="(0.030)",="(0.009)",="(0.015)",="(0.045)",="(0.019)"
="year==2011",="-0.094***",="-0.121***",="0.057***",="-0.069***",="0.009",="0.083***"
="",="(0.007)",="(0.025)",="(0.009)",="(0.013)",="(0.027)",="(0.016)"
="year==2016",="-0.086***",="-0.075*",="0.091***",="-0.044*",="-0.139***",="0.170***"
="",="(0.010)",="(0.041)",="(0.013)",="(0.026)",="(0.051)",="(0.036)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.240**",="0.111",="-0.127",="0.763***",="-0.366",="-1.029***"
="",="(0.101)",="(0.402)",="(0.157)",="(0.171)",="(0.405)",="(0.263)"
="L.share_college",="-0.743***",="-2.009***",="0.807***",="-0.701**",="-0.829",="1.202***"
="",="(0.061)",="(0.249)",="(0.084)",="(0.296)",="(0.518)",="(0.330)"
="N",="700.000",="700.000",="700.000",="1780.000",="1780.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="339.852",="339.852",="339.852"
="arf",="2.048",="0.066",="0.123",="0.002",="12.106",="11.973"
="arfp",="0.155",="0.798",="0.727",="0.966",="0.001",="0.001"
="Standard errors in parentheses"
